Nano Seconds,Value_of_n
4583ns,1691864 n
3792ns,1691865 n
4333ns,1691866 n
2416ns,1691867 n
2708ns,1691868 n
2500ns,1691869 n
4042ns,1691870 n
6083ns,1691871 n
2459ns,1691872 n
4959ns,1691873 n
2375ns,1691874 n
2875ns,1691875 n
2541ns,1691876 n
3375ns,1691877 n
4791ns,1691878 n
3417ns,1691879 n
2750ns,1691880 n
6083ns,1691881 n
2459ns,1691882 n
2791ns,1691883 n
4584ns,1691884 n
2792ns,1691885 n
2750ns,1691886 n
2625ns,1691887 n
2583ns,1691888 n
2875ns,1691889 n
3792ns,1691890 n
2875ns,1691891 n
2750ns,1691892 n
2500ns,1691893 n
3375ns,1691894 n
5083ns,1691895 n
3584ns,1691896 n
2458ns,1691897 n
3167ns,1691898 n
3541ns,1691899 n
2875ns,1691900 n
4834ns,1691901 n
2708ns,1691902 n
2750ns,1691903 n
2583ns,1691904 n
3542ns,1691905 n
4458ns,1691906 n
3083ns,1691907 n
3667ns,1691908 n
4041ns,1691909 n
2833ns,1691910 n
2375ns,1691911 n
2791ns,1691912 n
2708ns,1691913 n
2750ns,1691914 n
2667ns,1691915 n
4125ns,1691916 n
2500ns,1691917 n
2666ns,1691918 n
3917ns,1691919 n
2458ns,1691920 n
2667ns,1691921 n
7416ns,1691922 n
5167ns,1691923 n
3000ns,1691924 n
3459ns,1691925 n
2458ns,1691926 n
2750ns,1691927 n
2791ns,1691928 n
4833ns,1691929 n
4041ns,1691930 n
2875ns,1691931 n
2375ns,1691932 n
2500ns,1691933 n
2625ns,1691934 n
2750ns,1691935 n
2708ns,1691936 n
2750ns,1691937 n
2625ns,1691938 n
2458ns,1691939 n
4000ns,1691940 n
7000ns,1691941 n
2625ns,1691942 n
3458ns,1691943 n
2458ns,1691944 n
2541ns,1691945 n
2834ns,1691946 n
4125ns,1691947 n
2458ns,1691948 n
2750ns,1691949 n
2792ns,1691950 n
3542ns,1691951 n
3625ns,1691952 n
4083ns,1691953 n
2709ns,1691954 n
4666ns,1691955 n
2500ns,1691956 n
3334ns,1691957 n
2833ns,1691958 n
2709ns,1691959 n
2625ns,1691960 n
2708ns,1691961 n
2625ns,1691962 n
2625ns,1691963 n
4000ns,1691964 n
2708ns,1691965 n
2625ns,1691966 n
3084ns,1691967 n
2250ns,1691968 n
2833ns,1691969 n
3416ns,1691970 n
4917ns,1691971 n
2958ns,1691972 n
2375ns,1691973 n
2583ns,1691974 n
3000ns,1691975 n
2167ns,1691976 n
2542ns,1691977 n
2625ns,1691978 n
4208ns,1691979 n
2834ns,1691980 n
3292ns,1691981 n
3125ns,1691982 n
2542ns,1691983 n
2750ns,1691984 n
3084ns,1691985 n
4166ns,1691986 n
2500ns,1691987 n
3083ns,1691988 n
5125ns,1691989 n
2833ns,1691990 n
4375ns,1691991 n
2500ns,1691992 n
2500ns,1691993 n
2959ns,1691994 n
3166ns,1691995 n
3917ns,1691996 n
2750ns,1691997 n
2667ns,1691998 n
4917ns,1691999 n
2958ns,1692000 n
4500ns,1692001 n
3292ns,1692002 n
7291ns,1692003 n
2417ns,1692004 n
5125ns,1692005 n
2875ns,1692006 n
3042ns,1692007 n
2417ns,1692008 n
3083ns,1692009 n
2584ns,1692010 n
3000ns,1692011 n
2959ns,1692012 n
2458ns,1692013 n
5000ns,1692014 n
2958ns,1692015 n
2458ns,1692016 n
2541ns,1692017 n
3458ns,1692018 n
3041ns,1692019 n
2833ns,1692020 n
5166ns,1692021 n
3833ns,1692022 n
2625ns,1692023 n
2791ns,1692024 n
3959ns,1692025 n
2958ns,1692026 n
2833ns,1692027 n
3042ns,1692028 n
2958ns,1692029 n
2834ns,1692030 n
4584ns,1692031 n
2291ns,1692032 n
4291ns,1692033 n
3167ns,1692034 n
3166ns,1692035 n
2791ns,1692036 n
6958ns,1692037 n
5292ns,1692038 n
2750ns,1692039 n
2625ns,1692040 n
3083ns,1692041 n
3833ns,1692042 n
2958ns,1692043 n
3834ns,1692044 n
3959ns,1692045 n
6500ns,1692046 n
4416ns,1692047 n
3667ns,1692048 n
3166ns,1692049 n
5125ns,1692050 n
3542ns,1692051 n
3208ns,1692052 n
6125ns,1692053 n
4042ns,1692054 n
3500ns,1692055 n
3375ns,1692056 n
6750ns,1692057 n
7542ns,1692058 n
2542ns,1692059 n
2917ns,1692060 n
4291ns,1692061 n
3708ns,1692062 n
2667ns,1692063 n
1792ns,1692064 n
2792ns,1692065 n
2833ns,1692066 n
3000ns,1692067 n
3333ns,1692068 n
4791ns,1692069 n
3917ns,1692070 n
2541ns,1692071 n
3875ns,1692072 n
2792ns,1692073 n
2542ns,1692074 n
2917ns,1692075 n
2500ns,1692076 n
4209ns,1692077 n
3000ns,1692078 n
3958ns,1692079 n
2792ns,1692080 n
4334ns,1692081 n
2625ns,1692082 n
2916ns,1692083 n
2291ns,1692084 n
5208ns,1692085 n
2708ns,1692086 n
4000ns,1692087 n
4875ns,1692088 n
2666ns,1692089 n
3291ns,1692090 n
2584ns,1692091 n
2917ns,1692092 n
3708ns,1692093 n
4792ns,1692094 n
3125ns,1692095 n
2625ns,1692096 n
5083ns,1692097 n
4500ns,1692098 n
2916ns,1692099 n
3500ns,1692100 n
5084ns,1692101 n
3500ns,1692102 n
4000ns,1692103 n
2584ns,1692104 n
2625ns,1692105 n
3125ns,1692106 n
2500ns,1692107 n
3208ns,1692108 n
5542ns,1692109 n
3042ns,1692110 n
3583ns,1692111 n
2292ns,1692112 n
3292ns,1692113 n
2708ns,1692114 n
2959ns,1692115 n
3000ns,1692116 n
3250ns,1692117 n
2500ns,1692118 n
2708ns,1692119 n
3959ns,1692120 n
2625ns,1692121 n
2459ns,1692122 n
2666ns,1692123 n
4375ns,1692124 n
2917ns,1692125 n
2750ns,1692126 n
5292ns,1692127 n
2458ns,1692128 n
2584ns,1692129 n
3042ns,1692130 n
3041ns,1692131 n
2792ns,1692132 n
3042ns,1692133 n
2541ns,1692134 n
3166ns,1692135 n
3625ns,1692136 n
2542ns,1692137 n
3000ns,1692138 n
2500ns,1692139 n
3042ns,1692140 n
3833ns,1692141 n
3625ns,1692142 n
4000ns,1692143 n
2542ns,1692144 n
3000ns,1692145 n
3917ns,1692146 n
2792ns,1692147 n
4375ns,1692148 n
2541ns,1692149 n
3125ns,1692150 n
3709ns,1692151 n
3291ns,1692152 n
2875ns,1692153 n
4125ns,1692154 n
2792ns,1692155 n
2875ns,1692156 n
4375ns,1692157 n
3625ns,1692158 n
3083ns,1692159 n
2208ns,1692160 n
2459ns,1692161 n
2792ns,1692162 n
2833ns,1692163 n
5042ns,1692164 n
3958ns,1692165 n
2625ns,1692166 n
2625ns,1692167 n
2792ns,1692168 n
4292ns,1692169 n
2875ns,1692170 n
3292ns,1692171 n
2542ns,1692172 n
2792ns,1692173 n
2709ns,1692174 n
3333ns,1692175 n
2375ns,1692176 n
2667ns,1692177 n
3500ns,1692178 n
3167ns,1692179 n
2875ns,1692180 n
2583ns,1692181 n
6500ns,1692182 n
2792ns,1692183 n
3666ns,1692184 n
2833ns,1692185 n
5167ns,1692186 n
3583ns,1692187 n
3250ns,1692188 n
2792ns,1692189 n
2625ns,1692190 n
2583ns,1692191 n
2708ns,1692192 n
4667ns,1692193 n
2916ns,1692194 n
2959ns,1692195 n
3042ns,1692196 n
1792ns,1692197 n
2875ns,1692198 n
2541ns,1692199 n
2583ns,1692200 n
3833ns,1692201 n
2583ns,1692202 n
2459ns,1692203 n
4333ns,1692204 n
4292ns,1692205 n
6750ns,1692206 n
2709ns,1692207 n
2791ns,1692208 n
5583ns,1692209 n
3250ns,1692210 n
3667ns,1692211 n
2500ns,1692212 n
5750ns,1692213 n
3334ns,1692214 n
2833ns,1692215 n
3333ns,1692216 n
2584ns,1692217 n
2792ns,1692218 n
3292ns,1692219 n
3083ns,1692220 n
2500ns,1692221 n
3583ns,1692222 n
2792ns,1692223 n
4042ns,1692224 n
2625ns,1692225 n
2375ns,1692226 n
7709ns,1692227 n
2500ns,1692228 n
2542ns,1692229 n
3542ns,1692230 n
3250ns,1692231 n
2792ns,1692232 n
2541ns,1692233 n
3333ns,1692234 n
3291ns,1692235 n
2750ns,1692236 n
4083ns,1692237 n
4375ns,1692238 n
2583ns,1692239 n
2708ns,1692240 n
2458ns,1692241 n
6541ns,1692242 n
2917ns,1692243 n
2584ns,1692244 n
2666ns,1692245 n
3042ns,1692246 n
2625ns,1692247 n
2417ns,1692248 n
3208ns,1692249 n
3125ns,1692250 n
2875ns,1692251 n
3167ns,1692252 n
2542ns,1692253 n
2583ns,1692254 n
4416ns,1692255 n
2459ns,1692256 n
5208ns,1692257 n
4125ns,1692258 n
4166ns,1692259 n
3667ns,1692260 n
2875ns,1692261 n
4292ns,1692262 n
7041ns,1692263 n
2875ns,1692264 n
3084ns,1692265 n
3833ns,1692266 n
2833ns,1692267 n
2583ns,1692268 n
2792ns,1692269 n
3042ns,1692270 n
2708ns,1692271 n
2458ns,1692272 n
2791ns,1692273 n
2459ns,1692274 n
3541ns,1692275 n
2833ns,1692276 n
9334ns,1692277 n
2750ns,1692278 n
4792ns,1692279 n
2750ns,1692280 n
5041ns,1692281 n
4417ns,1692282 n
2583ns,1692283 n
2750ns,1692284 n
3417ns,1692285 n
4667ns,1692286 n
3459ns,1692287 n
2458ns,1692288 n
4625ns,1692289 n
3833ns,1692290 n
2708ns,1692291 n
2917ns,1692292 n
2458ns,1692293 n
3250ns,1692294 n
2500ns,1692295 n
4166ns,1692296 n
4292ns,1692297 n
2417ns,1692298 n
2666ns,1692299 n
2917ns,1692300 n
4417ns,1692301 n
3416ns,1692302 n
5041ns,1692303 n
2333ns,1692304 n
2542ns,1692305 n
2083ns,1692306 n
7000ns,1692307 n
4208ns,1692308 n
2750ns,1692309 n
4000ns,1692310 n
3000ns,1692311 n
4958ns,1692312 n
3000ns,1692313 n
2625ns,1692314 n
3125ns,1692315 n
2916ns,1692316 n
2625ns,1692317 n
2958ns,1692318 n
5792ns,1692319 n
2833ns,1692320 n
3625ns,1692321 n
2500ns,1692322 n
4917ns,1692323 n
3333ns,1692324 n
3167ns,1692325 n
4083ns,1692326 n
2750ns,1692327 n
2708ns,1692328 n
3500ns,1692329 n
3291ns,1692330 n
6167ns,1692331 n
2583ns,1692332 n
2875ns,1692333 n
4042ns,1692334 n
4500ns,1692335 n
2542ns,1692336 n
2542ns,1692337 n
5250ns,1692338 n
3250ns,1692339 n
2917ns,1692340 n
4250ns,1692341 n
3916ns,1692342 n
4167ns,1692343 n
2500ns,1692344 n
4417ns,1692345 n
5375ns,1692346 n
4584ns,1692347 n
2875ns,1692348 n
2959ns,1692349 n
2708ns,1692350 n
3875ns,1692351 n
2333ns,1692352 n
3458ns,1692353 n
2792ns,1692354 n
2750ns,1692355 n
4500ns,1692356 n
3417ns,1692357 n
2583ns,1692358 n
3917ns,1692359 n
3000ns,1692360 n
3375ns,1692361 n
2666ns,1692362 n
2708ns,1692363 n
2542ns,1692364 n
2792ns,1692365 n
2500ns,1692366 n
2917ns,1692367 n
2500ns,1692368 n
2875ns,1692369 n
4167ns,1692370 n
4125ns,1692371 n
3125ns,1692372 n
12500ns,1692373 n
2666ns,1692374 n
2583ns,1692375 n
3333ns,1692376 n
2542ns,1692377 n
4959ns,1692378 n
2542ns,1692379 n
2875ns,1692380 n
2792ns,1692381 n
2375ns,1692382 n
2875ns,1692383 n
2500ns,1692384 n
2875ns,1692385 n
2500ns,1692386 n
2625ns,1692387 n
2500ns,1692388 n
4917ns,1692389 n
2833ns,1692390 n
4792ns,1692391 n
2500ns,1692392 n
4167ns,1692393 n
3166ns,1692394 n
4417ns,1692395 n
4167ns,1692396 n
2834ns,1692397 n
4292ns,1692398 n
2875ns,1692399 n
2750ns,1692400 n
3291ns,1692401 n
5583ns,1692402 n
4166ns,1692403 n
2625ns,1692404 n
2625ns,1692405 n
2834ns,1692406 n
2625ns,1692407 n
4000ns,1692408 n
2833ns,1692409 n
2875ns,1692410 n
3167ns,1692411 n
2583ns,1692412 n
2584ns,1692413 n
2958ns,1692414 n
3125ns,1692415 n
2417ns,1692416 n
3625ns,1692417 n
2916ns,1692418 n
3250ns,1692419 n
4625ns,1692420 n
2458ns,1692421 n
8625ns,1692422 n
2834ns,1692423 n
5167ns,1692424 n
3000ns,1692425 n
2708ns,1692426 n
3792ns,1692427 n
7792ns,1692428 n
4167ns,1692429 n
2708ns,1692430 n
3000ns,1692431 n
2292ns,1692432 n
2333ns,1692433 n
2500ns,1692434 n
3333ns,1692435 n
2375ns,1692436 n
3750ns,1692437 n
3083ns,1692438 n
3584ns,1692439 n
3166ns,1692440 n
3125ns,1692441 n
7708ns,1692442 n
3834ns,1692443 n
2708ns,1692444 n
3041ns,1692445 n
2958ns,1692446 n
2750ns,1692447 n
2334ns,1692448 n
4625ns,1692449 n
3042ns,1692450 n
3708ns,1692451 n
2584ns,1692452 n
3083ns,1692453 n
3125ns,1692454 n
2917ns,1692455 n
3375ns,1692456 n
4292ns,1692457 n
2500ns,1692458 n
3458ns,1692459 n
2875ns,1692460 n
2458ns,1692461 n
5416ns,1692462 n
4209ns,1692463 n
4417ns,1692464 n
3125ns,1692465 n
2458ns,1692466 n
2666ns,1692467 n
3208ns,1692468 n
2959ns,1692469 n
3875ns,1692470 n
2834ns,1692471 n
2500ns,1692472 n
2416ns,1692473 n
4250ns,1692474 n
2584ns,1692475 n
2625ns,1692476 n
5666ns,1692477 n
2833ns,1692478 n
2625ns,1692479 n
3792ns,1692480 n
2666ns,1692481 n
2708ns,1692482 n
2791ns,1692483 n
2334ns,1692484 n
2542ns,1692485 n
3083ns,1692486 n
3458ns,1692487 n
2583ns,1692488 n
2917ns,1692489 n
2667ns,1692490 n
4000ns,1692491 n
2792ns,1692492 n
4125ns,1692493 n
2583ns,1692494 n
2875ns,1692495 n
4500ns,1692496 n
7125ns,1692497 n
3709ns,1692498 n
2542ns,1692499 n
2750ns,1692500 n
2667ns,1692501 n
3500ns,1692502 n
2500ns,1692503 n
3000ns,1692504 n
3333ns,1692505 n
3958ns,1692506 n
2958ns,1692507 n
2542ns,1692508 n
2417ns,1692509 n
2708ns,1692510 n
2542ns,1692511 n
2959ns,1692512 n
4500ns,1692513 n
4750ns,1692514 n
2708ns,1692515 n
2875ns,1692516 n
3917ns,1692517 n
2583ns,1692518 n
2875ns,1692519 n
2709ns,1692520 n
3750ns,1692521 n
3500ns,1692522 n
3250ns,1692523 n
2375ns,1692524 n
2792ns,1692525 n
4666ns,1692526 n
2500ns,1692527 n
3042ns,1692528 n
4625ns,1692529 n
2875ns,1692530 n
4333ns,1692531 n
2667ns,1692532 n
4375ns,1692533 n
2917ns,1692534 n
2791ns,1692535 n
3667ns,1692536 n
2459ns,1692537 n
3000ns,1692538 n
4333ns,1692539 n
3042ns,1692540 n
2458ns,1692541 n
2625ns,1692542 n
4291ns,1692543 n
2375ns,1692544 n
3750ns,1692545 n
2875ns,1692546 n
2833ns,1692547 n
2500ns,1692548 n
3208ns,1692549 n
2833ns,1692550 n
2458ns,1692551 n
3416ns,1692552 n
3000ns,1692553 n
3666ns,1692554 n
3459ns,1692555 n
3042ns,1692556 n
4792ns,1692557 n
3333ns,1692558 n
4167ns,1692559 n
2541ns,1692560 n
2750ns,1692561 n
3584ns,1692562 n
2458ns,1692563 n
4250ns,1692564 n
3042ns,1692565 n
3458ns,1692566 n
3708ns,1692567 n
2500ns,1692568 n
3375ns,1692569 n
3125ns,1692570 n
3000ns,1692571 n
2584ns,1692572 n
2833ns,1692573 n
2709ns,1692574 n
2958ns,1692575 n
3125ns,1692576 n
2584ns,1692577 n
3042ns,1692578 n
2833ns,1692579 n
2709ns,1692580 n
2583ns,1692581 n
2958ns,1692582 n
2583ns,1692583 n
2500ns,1692584 n
3334ns,1692585 n
2875ns,1692586 n
2875ns,1692587 n
3209ns,1692588 n
2416ns,1692589 n
2750ns,1692590 n
2875ns,1692591 n
3208ns,1692592 n
2709ns,1692593 n
2792ns,1692594 n
5500ns,1692595 n
2458ns,1692596 n
5125ns,1692597 n
4042ns,1692598 n
3750ns,1692599 n
2250ns,1692600 n
5708ns,1692601 n
3834ns,1692602 n
4125ns,1692603 n
5667ns,1692604 n
2750ns,1692605 n
2667ns,1692606 n
2625ns,1692607 n
3083ns,1692608 n
3208ns,1692609 n
4375ns,1692610 n
4000ns,1692611 n
2667ns,1692612 n
2667ns,1692613 n
2583ns,1692614 n
2875ns,1692615 n
2875ns,1692616 n
3750ns,1692617 n
2917ns,1692618 n
3208ns,1692619 n
2708ns,1692620 n
4334ns,1692621 n
2875ns,1692622 n
5125ns,1692623 n
2792ns,1692624 n
2917ns,1692625 n
2750ns,1692626 n
3875ns,1692627 n
3917ns,1692628 n
2583ns,1692629 n
3000ns,1692630 n
2875ns,1692631 n
3834ns,1692632 n
4500ns,1692633 n
3208ns,1692634 n
3917ns,1692635 n
2750ns,1692636 n
2500ns,1692637 n
5667ns,1692638 n
2125ns,1692639 n
2791ns,1692640 n
2417ns,1692641 n
5167ns,1692642 n
2541ns,1692643 n
3709ns,1692644 n
2916ns,1692645 n
2667ns,1692646 n
2667ns,1692647 n
2958ns,1692648 n
2584ns,1692649 n
3625ns,1692650 n
4041ns,1692651 n
4292ns,1692652 n
2708ns,1692653 n
4333ns,1692654 n
2792ns,1692655 n
2833ns,1692656 n
3334ns,1692657 n
3666ns,1692658 n
4250ns,1692659 n
2666ns,1692660 n
5625ns,1692661 n
3375ns,1692662 n
2667ns,1692663 n
2542ns,1692664 n
2833ns,1692665 n
5333ns,1692666 n
2625ns,1692667 n
4083ns,1692668 n
3042ns,1692669 n
2875ns,1692670 n
7750ns,1692671 n
1791ns,1692672 n
2375ns,1692673 n
5708ns,1692674 n
3042ns,1692675 n
2333ns,1692676 n
2750ns,1692677 n
3041ns,1692678 n
2584ns,1692679 n
2583ns,1692680 n
2875ns,1692681 n
2584ns,1692682 n
2542ns,1692683 n
2958ns,1692684 n
3542ns,1692685 n
2583ns,1692686 n
2542ns,1692687 n
3375ns,1692688 n
3416ns,1692689 n
3041ns,1692690 n
3125ns,1692691 n
2333ns,1692692 n
2833ns,1692693 n
4750ns,1692694 n
3209ns,1692695 n
2625ns,1692696 n
2500ns,1692697 n
2792ns,1692698 n
2791ns,1692699 n
2792ns,1692700 n
2583ns,1692701 n
4084ns,1692702 n
6750ns,1692703 n
2084ns,1692704 n
3291ns,1692705 n
2417ns,1692706 n
2500ns,1692707 n
2750ns,1692708 n
2500ns,1692709 n
3042ns,1692710 n
4250ns,1692711 n
3208ns,1692712 n
3166ns,1692713 n
3584ns,1692714 n
2750ns,1692715 n
2584ns,1692716 n
3041ns,1692717 n
2625ns,1692718 n
2666ns,1692719 n
2958ns,1692720 n
2542ns,1692721 n
2417ns,1692722 n
5500ns,1692723 n
2250ns,1692724 n
2666ns,1692725 n
3167ns,1692726 n
2583ns,1692727 n
5250ns,1692728 n
2875ns,1692729 n
3459ns,1692730 n
2542ns,1692731 n
2625ns,1692732 n
3167ns,1692733 n
4000ns,1692734 n
3083ns,1692735 n
2208ns,1692736 n
2375ns,1692737 n
3042ns,1692738 n
4292ns,1692739 n
3875ns,1692740 n
3125ns,1692741 n
3250ns,1692742 n
3167ns,1692743 n
5292ns,1692744 n
3958ns,1692745 n
2833ns,1692746 n
4667ns,1692747 n
2792ns,1692748 n
2541ns,1692749 n
2791ns,1692750 n
5208ns,1692751 n
3125ns,1692752 n
2750ns,1692753 n
2875ns,1692754 n
3792ns,1692755 n
2542ns,1692756 n
2875ns,1692757 n
2583ns,1692758 n
3000ns,1692759 n
5208ns,1692760 n
2834ns,1692761 n
2750ns,1692762 n
2583ns,1692763 n
2584ns,1692764 n
2958ns,1692765 n
2500ns,1692766 n
3792ns,1692767 n
2667ns,1692768 n
3959ns,1692769 n
4625ns,1692770 n
2791ns,1692771 n
5041ns,1692772 n
4959ns,1692773 n
3792ns,1692774 n
2875ns,1692775 n
2500ns,1692776 n
2667ns,1692777 n
2542ns,1692778 n
2500ns,1692779 n
5042ns,1692780 n
3709ns,1692781 n
4416ns,1692782 n
5333ns,1692783 n
3166ns,1692784 n
4084ns,1692785 n
2833ns,1692786 n
2584ns,1692787 n
2833ns,1692788 n
3875ns,1692789 n
3000ns,1692790 n
2625ns,1692791 n
2958ns,1692792 n
5042ns,1692793 n
2458ns,1692794 n
2959ns,1692795 n
2792ns,1692796 n
3833ns,1692797 n
3166ns,1692798 n
4667ns,1692799 n
1666ns,1692800 n
3292ns,1692801 n
2542ns,1692802 n
5792ns,1692803 n
2916ns,1692804 n
3167ns,1692805 n
2583ns,1692806 n
2708ns,1692807 n
3583ns,1692808 n
2458ns,1692809 n
3125ns,1692810 n
3709ns,1692811 n
3625ns,1692812 n
2916ns,1692813 n
2625ns,1692814 n
2584ns,1692815 n
2667ns,1692816 n
2250ns,1692817 n
8042ns,1692818 n
3958ns,1692819 n
4041ns,1692820 n
5375ns,1692821 n
4292ns,1692822 n
3042ns,1692823 n
2834ns,1692824 n
2959ns,1692825 n
3125ns,1692826 n
2500ns,1692827 n
3542ns,1692828 n
2541ns,1692829 n
2916ns,1692830 n
2709ns,1692831 n
2291ns,1692832 n
4250ns,1692833 n
2833ns,1692834 n
2708ns,1692835 n
2500ns,1692836 n
5125ns,1692837 n
2542ns,1692838 n
2625ns,1692839 n
2917ns,1692840 n
3917ns,1692841 n
2542ns,1692842 n
2875ns,1692843 n
4417ns,1692844 n
2667ns,1692845 n
3250ns,1692846 n
4083ns,1692847 n
3083ns,1692848 n
3542ns,1692849 n
2750ns,1692850 n
4458ns,1692851 n
3167ns,1692852 n
4667ns,1692853 n
2625ns,1692854 n
2875ns,1692855 n
2875ns,1692856 n
2500ns,1692857 n
2875ns,1692858 n
3792ns,1692859 n
2958ns,1692860 n
5542ns,1692861 n
2833ns,1692862 n
2667ns,1692863 n
2667ns,1692864 n
2750ns,1692865 n
2667ns,1692866 n
3917ns,1692867 n
3542ns,1692868 n
3583ns,1692869 n
3084ns,1692870 n
2584ns,1692871 n
3958ns,1692872 n
3250ns,1692873 n
2500ns,1692874 n
2834ns,1692875 n
2833ns,1692876 n
2709ns,1692877 n
2875ns,1692878 n
4458ns,1692879 n
2708ns,1692880 n
4542ns,1692881 n
2916ns,1692882 n
2584ns,1692883 n
2417ns,1692884 n
2708ns,1692885 n
3042ns,1692886 n
4500ns,1692887 n
2791ns,1692888 n
3959ns,1692889 n
3041ns,1692890 n
3333ns,1692891 n
2583ns,1692892 n
6000ns,1692893 n
3084ns,1692894 n
2542ns,1692895 n
2459ns,1692896 n
2750ns,1692897 n
3125ns,1692898 n
2667ns,1692899 n
2791ns,1692900 n
2583ns,1692901 n
3750ns,1692902 n
2750ns,1692903 n
2083ns,1692904 n
2542ns,1692905 n
5000ns,1692906 n
2583ns,1692907 n
4541ns,1692908 n
4833ns,1692909 n
4209ns,1692910 n
2916ns,1692911 n
2625ns,1692912 n
4125ns,1692913 n
2583ns,1692914 n
2875ns,1692915 n
2541ns,1692916 n
2416ns,1692917 n
2958ns,1692918 n
3000ns,1692919 n
2584ns,1692920 n
2625ns,1692921 n
2916ns,1692922 n
5500ns,1692923 n
3833ns,1692924 n
2667ns,1692925 n
3958ns,1692926 n
2750ns,1692927 n
2083ns,1692928 n
2792ns,1692929 n
2917ns,1692930 n
4417ns,1692931 n
2500ns,1692932 n
2125ns,1692933 n
7542ns,1692934 n
2791ns,1692935 n
2709ns,1692936 n
5167ns,1692937 n
2833ns,1692938 n
2833ns,1692939 n
4250ns,1692940 n
3167ns,1692941 n
2709ns,1692942 n
3083ns,1692943 n
3000ns,1692944 n
2959ns,1692945 n
3250ns,1692946 n
2583ns,1692947 n
2875ns,1692948 n
2541ns,1692949 n
3000ns,1692950 n
4333ns,1692951 n
2541ns,1692952 n
3458ns,1692953 n
5917ns,1692954 n
2833ns,1692955 n
4750ns,1692956 n
2709ns,1692957 n
3250ns,1692958 n
2625ns,1692959 n
2708ns,1692960 n
2875ns,1692961 n
2250ns,1692962 n
2833ns,1692963 n
2292ns,1692964 n
4750ns,1692965 n
3917ns,1692966 n
2625ns,1692967 n
6542ns,1692968 n
3000ns,1692969 n
4167ns,1692970 n
5166ns,1692971 n
3709ns,1692972 n
4417ns,1692973 n
2625ns,1692974 n
3416ns,1692975 n
2708ns,1692976 n
3125ns,1692977 n
4542ns,1692978 n
3375ns,1692979 n
2709ns,1692980 n
3417ns,1692981 n
5166ns,1692982 n
2542ns,1692983 n
2667ns,1692984 n
2917ns,1692985 n
2541ns,1692986 n
4625ns,1692987 n
3084ns,1692988 n
2375ns,1692989 n
2958ns,1692990 n
2625ns,1692991 n
2250ns,1692992 n
5708ns,1692993 n
3583ns,1692994 n
3459ns,1692995 n
3541ns,1692996 n
4958ns,1692997 n
2625ns,1692998 n
2416ns,1692999 n
2417ns,1693000 n
2500ns,1693001 n
2833ns,1693002 n
2792ns,1693003 n
2583ns,1693004 n
2916ns,1693005 n
2750ns,1693006 n
2709ns,1693007 n
2833ns,1693008 n
2709ns,1693009 n
3042ns,1693010 n
4250ns,1693011 n
4708ns,1693012 n
3750ns,1693013 n
2750ns,1693014 n
10041ns,1693015 n
4250ns,1693016 n
4125ns,1693017 n
4292ns,1693018 n
5833ns,1693019 n
2709ns,1693020 n
3167ns,1693021 n
3875ns,1693022 n
3792ns,1693023 n
3500ns,1693024 n
5125ns,1693025 n
3000ns,1693026 n
2834ns,1693027 n
2458ns,1693028 n
3000ns,1693029 n
2417ns,1693030 n
2583ns,1693031 n
2375ns,1693032 n
3166ns,1693033 n
3000ns,1693034 n
3000ns,1693035 n
2542ns,1693036 n
3833ns,1693037 n
4917ns,1693038 n
3583ns,1693039 n
2750ns,1693040 n
2917ns,1693041 n
2666ns,1693042 n
2792ns,1693043 n
4000ns,1693044 n
2583ns,1693045 n
4667ns,1693046 n
3667ns,1693047 n
2416ns,1693048 n
3209ns,1693049 n
2917ns,1693050 n
2583ns,1693051 n
3000ns,1693052 n
3125ns,1693053 n
2792ns,1693054 n
3833ns,1693055 n
2375ns,1693056 n
3958ns,1693057 n
2500ns,1693058 n
2708ns,1693059 n
2500ns,1693060 n
3708ns,1693061 n
3458ns,1693062 n
4417ns,1693063 n
3792ns,1693064 n
2958ns,1693065 n
3208ns,1693066 n
2542ns,1693067 n
3125ns,1693068 n
2708ns,1693069 n
2834ns,1693070 n
2875ns,1693071 n
2417ns,1693072 n
2500ns,1693073 n
4250ns,1693074 n
3000ns,1693075 n
2458ns,1693076 n
2833ns,1693077 n
2500ns,1693078 n
2917ns,1693079 n
3000ns,1693080 n
3125ns,1693081 n
3958ns,1693082 n
3709ns,1693083 n
4375ns,1693084 n
4834ns,1693085 n
4708ns,1693086 n
4917ns,1693087 n
4666ns,1693088 n
2792ns,1693089 n
2792ns,1693090 n
2583ns,1693091 n
4292ns,1693092 n
2458ns,1693093 n
3000ns,1693094 n
3542ns,1693095 n
3000ns,1693096 n
3625ns,1693097 n
2667ns,1693098 n
3167ns,1693099 n
3250ns,1693100 n
2959ns,1693101 n
5500ns,1693102 n
2625ns,1693103 n
2834ns,1693104 n
4042ns,1693105 n
4167ns,1693106 n
3792ns,1693107 n
2459ns,1693108 n
2750ns,1693109 n
3083ns,1693110 n
2500ns,1693111 n
2583ns,1693112 n
2625ns,1693113 n
4375ns,1693114 n
2834ns,1693115 n
4125ns,1693116 n
4083ns,1693117 n
2709ns,1693118 n
2666ns,1693119 n
2417ns,1693120 n
5125ns,1693121 n
3875ns,1693122 n
3875ns,1693123 n
2459ns,1693124 n
2750ns,1693125 n
2625ns,1693126 n
2500ns,1693127 n
3500ns,1693128 n
2417ns,1693129 n
2667ns,1693130 n
3250ns,1693131 n
2833ns,1693132 n
2792ns,1693133 n
2916ns,1693134 n
